,V4_bck,V4_fig1,V4_fig2
263,0.14992431450332655,0.47066489539672,0.4584079450222136
264,0.1499047505813386,0.4702998047265458,0.45813554603845824
265,0.14988999744023362,0.46993714778787643,0.45786420300319747
266,0.14987996837488352,0.4695768369645807,0.4575938317576124
267,0.14987457693528655,0.46921878973200354,0.4573243538427373
268,0.14987373690772157,0.4688629282118573,0.457055695776031
269,0.14987736229745696,0.4685091790329367,0.4567877885141968
270,0.14988536731298777,0.4681574736908063,0.45652056707061406
271,0.1498976663517732,0.4678077487095834,0.4562539702476237
272,0.1499141739874481,0.4674599451835175,0.4559879408300446
273,0.14993480495848394,0.46711400902597233,0.4557224265683384
274,0.14995947415827351,0.4667698928312101,0.45545738001818364
275,0.1499880966266143,0.46642755519321066,0.4551927579673168
276,0.15002058754256511,0.4660869598792414,0.45492852099572306
277,0.15005686221865228,0.465748075033012,0.45466463315705735
278,0.15009683609639918,0.465410872557864,0.4544010617473494
279,0.1501404247431563,0.4650753276334701,0.4541377771397691
280,0.15018754385020594,0.46474141883652476,0.45387475269284755
281,0.1502381092321185,0.4644091279104907,0.45361196467961384
282,0.15029203682733686,0.4640784393849326,0.4533493922631857
283,0.15034924269996452,0.4637493406088178,0.45308701742906526
284,0.15040964304273258,0.4634218214702322,0.452824824960279
285,0.15047315418331836,0.4630958752528298,0.4525628023974822
286,0.1505396925899982,0.4627714990636678,0.45230094037367424
287,0.15060917487598102,0.4624486920186899,0.4520392326973378
288,0.15068151780751007,0.4621274555549894,0.4517776760879697
289,0.15075663831298822,0.4618077931250166,0.4515162699673568
290,0.15083445349310032,0.46148970996723976,0.45125501630684095
291,0.1509148806319076,0.46117321292750746,0.450993920119764
292,0.15099783720888732,0.4608583104317151,0.45073298895394726
293,0.1510832409118902,0.46054501258470054,0.45047223256158764
294,0.1511710096509889,0.46023333097326974,0.45021166277418795
295,0.15126106157318867,0.45992327851109904,0.4499512933971321
296,0.15135331507797178,0.4596148693218181,0.449691140117312
297,0.15144768883364626,0.45930811863544263,0.4494312204192074
298,0.15154410186172412,0.45900304270088166,0.449171553506429
299,0.15164247349834942,0.458699658709865,0.44891216022796304
300,0.15174272339321151,0.45839798472932297,0.448653063060735
301,0.15184477153018008,0.4580980396401676,0.4483942863178767
302,0.1519485382483855,0.45779984327810236,0.44813585627097746
303,0.15205394426374097,0.4575034163712167,0.4478778009604718
304,0.15216091069089935,0.45720878059836395,0.44762014995180577
305,0.15226935906563271,0.4569159585368411,0.44736293416574463
306,0.152379211367619,0.45662497347897635,0.44710618572562744
307,0.15249039004361745,0.4563358492855257,0.44684993781477983
308,0.15260281803101125,0.4560486102637483,0.4465942245540757
309,0.1527164187816951,0.4557632810660847,0.4463390808948356
310,0.15283111628628038,0.45547988660391725,0.44608454252360635
311,0.15294683509859222,0.4551984519727817,0.4458306457859937
312,0.15306350036042893,0.4549190023876565,0.44557742767004777
313,0.15318103782655382,0.4546415631251279,0.44532492571069915
314,0.15329937388988868,0.45436615953655823,0.4450731779137572
315,0.15341843560687504,0.4540928171243932,0.44482222269796806
316,0.15353815072297183,0.4538215615707413,0.4445720988239285
317,0.15365844769825443,0.4535524186742478,0.44432284531750926
318,0.15377925573318763,0.4532854145738584,0.4440745030882172
319,0.1539005047944349,0.4530205752011529,0.44382711442492784
320,0.1540221256406757,0.4527579262043959,0.44358072162821843
321,0.15414404984837632,0.45249749287825414,0.44333536759136905
322,0.15426620983747874,0.4522393001076628,0.44309109535608754
323,0.15438853889696996,0.45198337238499664,0.44284794761728175
324,0.1545109712102963,0.4517297337488117,0.44260596665823776
325,0.15463344188058536,0.4514784077356346,0.44236519431333177
326,0.15475588698487341,0.45122941734096816,0.44212567206488607
327,0.15487824357078542,0.4509827849869708,0.4418874414006013
328,0.15500044967609322,0.45073853249579016,0.44165054320139213
329,0.1551224443533818,0.45049668106703766,0.44141501800797833
330,0.15524416769425667,0.4502572515471564,0.4411809065724707
331,0.15536556085307024,0.4500202641409714,0.4409482490346545
332,0.1554865660701422,0.4497857383338418,0.44071708486869227
333,0.1556071266944503,0.4495536929137492,0.44048745283697105
334,0.15572718720576562,0.4493241460044676,0.44025939095337824
335,0.15584669323629044,0.4490971150355782,0.44003293648323283
336,0.15596559159200774,0.44887261672057693,0.4398081258977317
337,0.1560838302733804,0.44865066714430024,0.4395849948367985
